acctnum,gender,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,refernce,art,geog,subscribe
10001,M/NB,49,29,109,248,357,10,3,2,2,0,1,0,2,0
10002,M/NB,39,27,35,103,138,3,0,1,0,1,0,0,1,0
10003,F,19,15,25,147,172,2,0,0,2,0,0,0,0,0
10004,F,7,7,15,257,272,1,0,0,0,0,1,0,0,0
10005,F,15,15,15,134,149,1,0,0,1,0,0,0,0,0
10006,F,7,7,15,98,113,1,0,1,0,0,0,0,0,1
10007,M/NB,25,25,15,0,15,1,0,0,0,1,0,0,0,0
10008,M/NB,41,1,124,114,238,11,2,1,2,3,0,0,3,0
10009,F,65,5,130,288,418,11,0,2,3,2,0,3,1,1
10010,F,11,11,15,108,123,1,0,1,0,0,0,0,0,0
10011,F,7,5,25,269,294,2,0,1,1,0,0,0,0,0
10012,F,15,13,27,146,173,2,0,1,0,0,1,0,0,0
10013,F,13,13,15,211,226,1,0,0,0,1,0,0,0,0
10014,M/NB,17,5,37,251,288,3,0,0,2,0,1,0,0,0
10015,F,25,25,15,0,15,1,0,0,1,0,0,0,0,0
10016,F,5,1,23,111,134,2,2,0,0,0,0,0,0,0
10017,F,19,7,39,137,176,3,0,0,2,0,0,0,1,0
10018,M/NB,33,7,147,300,447,12,4,0,6,0,0,2,0,0
10019,F,17,11,26,181,207,2,0,0,1,1,0,0,0,0
10020,F,13,11,25,276,301,2,0,1,1,0,0,0,0,0
10021,M/NB,15,9,25,177,202,2,0,1,1,0,0,0,0,0
10022,F,15,15,15,72,87,1,0,0,0,0,1,0,0,0
10023,M/NB,55,23,101,287,388,9,2,0,3,1,1,1,1,0
10024,F,5,1,29,85,114,2,0,0,0,0,0,1,1,0
10025,F,21,13,25,272,297,2,0,1,1,0,0,0,0,0
10026,F,15,15,15,14,29,1,1,0,0,0,0,0,0,0
10027,M/NB,25,11,82,243,325,7,1,0,2,2,0,1,1,0
10028,F,67,13,137,74,211,12,2,0,6,1,1,0,2,0
10029,M/NB,9,7,28,100,128,2,0,1,0,0,0,1,0,0
10030,F,13,13,15,225,240,1,1,0,0,0,0,0,0,0
10031,M/NB,61,27,137,66,203,12,3,0,3,4,0,0,2,0
10032,F,59,7,109,186,295,9,2,0,1,0,1,1,4,0
10033,F,15,15,15,239,254,1,1,0,0,0,0,0,0,0
10034,F,27,3,95,255,350,9,3,0,4,0,0,2,0,0
10035,F,19,13,29,103,132,2,0,0,0,0,0,1,1,0
10036,F,9,9,15,56,71,1,0,0,0,1,0,0,0,0
10037,F,7,7,15,40,55,1,0,0,0,0,0,0,1,0
